_id,OBJECTID,ROAD_TYPE,SIDEWALK_CODE,SIDEWALK_DESCRIPTION,CROSSWALK,CROSSWALK_TYPE,PX,PX_TYPE,LENGTH,geometry
101,101,Trail,13,Not applicable,, , , ,61.31905666,"{""coordinates"": [[[-79.3117213491046, 43.6615386851143], [-79.3110878404223, 43.6618438745669]]], ""type"": ""MultiLineString""}"
102,102,Trail,13,Not applicable,, , , ,147.4932899,"{""coordinates"": [[[-79.3003956315776, 43.6657735023048], [-79.2986538794171, 43.6661783431562]]], ""type"": ""MultiLineString""}"
103,103,Trail,13,Not applicable,, , , ,14.73660887,"{""coordinates"": [[[-79.3079779169438, 43.6631215097789], [-79.3078670947211, 43.6630160529093]]], ""type"": ""MultiLineString""}"
104,104,Trail,13,Not applicable,, , , ,65.74758762,"{""coordinates"": [[[-79.2308196208289, 43.752397740401], [-79.2306425005674, 43.7529754698892]]], ""type"": ""MultiLineString""}"
105,105,Local,4,Sidewalk on west side only,, , , ,54.16227907,"{""coordinates"": [[[-79.2469121878646, 43.7904401120511], [-79.2467129240959, 43.7899744558948]]], ""type"": ""MultiLineString""}"
106,106,Trail,13,Not applicable,, , , ,62.7148436,"{""coordinates"": [[[-79.3491335950778, 43.7846956208686], [-79.3483552442235, 43.7846691535545]]], ""type"": ""MultiLineString""}"
107,107,Trail,13,Not applicable,, , , ,20.11107593,"{""coordinates"": [[[-79.3478782684556, 43.787847211084], [-79.3477619745646, 43.7880074295943]]], ""type"": ""MultiLineString""}"
108,108,Trail,13,Not applicable,, , , ,44.46426257,"{""coordinates"": [[[-79.5837003638853, 43.6515583300563], [-79.5834965165327, 43.6511864619518]]], ""type"": ""MultiLineString""}"
109,109,Trail,13,Not applicable,, , , ,40.15181979,"{""coordinates"": [[[-79.406913705373, 43.7663181059424], [-79.4064324357322, 43.7662233896285]]], ""type"": ""MultiLineString""}"
110,110,Minor Arterial,7,Sidewalk on both sides,, , , ,23.8879419,"{""coordinates"": [[[-79.2859590819893, 43.8146378179799], [-79.285668399902, 43.8146817296427]]], ""type"": ""MultiLineString""}"
111,111,Trail,13,Not applicable,, , , ,30.71445731,"{""coordinates"": [[[-79.2557575640412, 43.6970703366717], [-79.2556567176342, 43.6968037281507]]], ""type"": ""MultiLineString""}"
112,112,Trail,13,Not applicable,, , , ,65.03381555,"{""coordinates"": [[[-79.4180893750395, 43.6497783382613], [-79.4178662537213, 43.649676840838], [-79.417827183559, 43.6495743952627], [-79.4174837527541, 43.6494305311457]]], ""type"": ""MultiLineString""}"
113,113,Local,1,Sidewalk on south side only,, , , ,51.8310865,"{""coordinates"": [[[-79.3641202718695, 43.6928617733088], [-79.3636683550628, 43.6930827210246], [-79.3635760298861, 43.6931066533263]]], ""type"": ""MultiLineString""}"
114,114,Walkway,11,City walkway,1,ts,1203,ts,36.76089756,"{""coordinates"": [[[-79.237215172299, 43.7894256272396], [-79.2367698883356, 43.7894993389972]]], ""type"": ""MultiLineString""}"
115,115,Walkway,11,City walkway,1,ts,727,ts,24.14263406,"{""coordinates"": [[[-79.5433889563735, 43.6599227686645], [-79.5432785265175, 43.6597207843104]]], ""type"": ""MultiLineString""}"
116,116,Walkway,11,City walkway,1,ts,724,ts,15.60602847,"{""coordinates"": [[[-79.528364280509, 43.6253645412258], [-79.5283289001438, 43.6252264415045]]], ""type"": ""MultiLineString""}"
117,117,Walkway,11,City walkway,1,ts,1188,ts,22.62533708,"{""coordinates"": [[[-79.1781198167674, 43.7749854870061], [-79.1778449083809, 43.775027873015]]], ""type"": ""MultiLineString""}"
118,118,Trail,13,Not applicable,, , , ,43.88351001,"{""coordinates"": [[[-79.5145206067434, 43.673508037263], [-79.5139784169634, 43.6735419948373]]], ""type"": ""MultiLineString""}"
